x,y
-25.78837592,-10.11296918
-4.3937105,38.01539799
-1.872781843,38.83339721
-41.22258699,-36.55316399
-3.717363787,38.2348612
-9.875017209,-4.486008372
-0.171667382,39.38538043
-44.85399158,-37.20343426
91.61465662,-26.1596401
-55.3099324,-39.07576417
-46.92013558,-37.57341562
3.292047603,40.50929806
93.1173068,-25.89056275
-7.549995161,36.99123636
-49.36194212,-38.01066632
92.05292959,-26.0811592
-49.98804636,-38.12278188
98.75224496,-24.88152267
-4.777769496,-2.683622489
1.693409917,39.99056685
91.99031917,-26.09237076
-59.00394742,-39.737246
-17.45872722,-7.167606883
90.55027941,-26.35023656
-37.84771808,-14.37715042
-12.73444885,-5.497102893
-3.658861461,-2.287976807
-21.06409756,-8.442465191
-4.591284823,-2.617681542
91.05116281,-26.2605441
89.36068136,-26.56325613
-9.439886307,-4.332146163
-33.8693784,-12.97041022
103.9489102,-23.9509635
-23.79920608,-9.40959908
-53.93250307,-38.82910993
-38.0963643,-14.46507168
-0.602069836,39.24572203
0.217744361,39.51173803
-53.61945095,-38.77305215
-40.45850349,-15.30032368
-7.078601998,37.14419556
-22.92894428,-9.10187466
-0.622565191,39.23907163
-19.32357395,-7.827016352
-47.48362939,-37.67431963
-18.32898903,-7.475331302
91.11377323,-26.24933255
-0.007704543,39.43858363
-3.409933463,38.3346172
-23.17759051,-9.189795923
-46.73230431,-37.53978095
-13.04525664,-5.607004471
100.0044534,-24.65729155
-23.05326739,-9.145835292
95.05822994,-25.5430045
-44.66616031,-37.16979959
-1.524360809,38.94645402
109.1455754,-23.02040432
-59.44222039,-39.81572689
-4.147766241,38.09520279
-2.631109975,38.58733241
-3.532905593,38.2947148
-0.376620932,39.31887643
-25.72621437,-10.09098886
-34.92612487,-13.34407558
-23.36407518,-9.25573687
-16.21549607,-6.728000569
94.18168401,-25.69996629
-20.31815887,-8.178701403
-6.269646875,-3.211150064
-17.02359632,-7.013744673
-17.33440411,-7.123646251
89.61112305,-26.5184099
-23.11542895,-9.167815607
-17.14791943,-7.057705304
-3.143493849,38.4210724
-56.93780343,-39.36726464
-0.069190608,39.41863243
-1.913772552,38.82009641
-33.18560126,-12.72862674
5.833471615,41.33394769
-40.1476957,-15.1904221
-5.152038633,37.76933318
95.62172376,-25.44210049
-7.283555547,37.07769156
