Dim1,Dim2,Decision
-8.414976,24.759218,0
-42.377037,-19.043177,2
54.832123,4.788595,2
41.82673,-14.189032,2
31.917212,30.089851,0
35.749714,20.906181,0
-27.195658,-29.896643,2
-8.124276,-14.404868,1
-6.2024107,-21.637241,1
17.590364,-7.2611637,1
-10.052664,6.3264637,1
-7.711688,-12.762223,1
-32.829937,-24.867973,2
-3.0632052,-0.8630787,1
-9.681288,6.2646484,1
2.051081,-24.575212,1
-3.9673107,2.3649945,1
-7.237876,-11.539821,1
-3.698871,22.964571,0
13.897255,46.91671,0
-19.432203,-38.209915,2
-45.783974,3.7524374,1
27.502756,-30.844301,2
-38.876286,-20.87363,2
-6.320895,-21.496777,1
18.799953,8.301883,1
-15.369196,32.91609,0
-2.8187115,-24.077559,1
40.39592,-15.973236,2
-11.363092,6.4505963,1
26.198095,39.364704,0
39.689285,-16.85538,2
-35.781242,28.658375,0
-21.906948,-35.553806,2
5.2783885,-23.460535,1
36.61518,17.703323,0
24.205729,41.73195,0
54.46877,4.1333737,2
8.159885,43.883675,0
29.0302,35.2246,0
-30.21534,2.2276163,1
-3.6496723,-4.529856,1
-12.532651,28.891472,0
-14.007707,6.300166,1
-5.2487125,-22.591478,1
0.008329758,23.325184,0
41.352173,-14.778924,2
-6.8590693,5.25327,1
28.518827,36.031693,0
4.064844,26.76494,0
5.52247,32.022163,0
5.903481,38.09172,0
-2.2007222,22.912886,0
-38.641216,2.346245,1
-19.696457,-37.937763,2
-17.37007,35.131916,0
27.115004,38.116917,0
-31.39063,34.474937,0
-30.980202,34.86811,0
19.756779,3.2268276,1
-16.19807,33.924637,0
-28.530478,36.644943,0
1.2094548,23.855545,0
29.323765,34.729725,0
12.590749,-16.219973,1
-26.687971,2.7815475,1
4.455552,-53.328903,2
38.049023,11.762279,0
30.768534,32.246136,0
-22.488848,37.77114,0
26.366396,-32.055923,2
15.987445,46.787773,0
49.260704,-4.330953,2
18.774467,8.391691,1
-32.682648,-24.971394,2
34.628326,24.076685,0
-12.496849,6.444259,1
6.1237197,39.419426,0
-6.920673,-10.859267,1
-43.973576,3.3177195,1
5.6520047,34.300735,0
-34.377575,30.866432,0
36.16598,19.495262,0
10.29813,-19.260887,1
-19.566105,-38.073822,2
33.920258,25.81743,0
-41.421345,2.7796297,1
48.08429,-6.0417085,2
-46.671448,3.9766805,1
-8.726288,24.974325,0
-37.600967,-21.623253,2
-19.827682,-37.800083,2
-13.836201,30.749962,0
19.704441,4.1523733,1
3.3407793,-24.264994,1
9.033343,-20.644085,1
-15.71725,-41.84509,2
13.509738,46.88383,0
19.301878,7.366428,1
-30.670097,-26.645851,2
36.309193,18.957582,0
-38.235973,-21.230177,2
-36.148228,28.027435,0
57.15012,8.50815,2
-9.3216305,25.422224,0
-27.741758,-29.36039,2
37.604237,12.492214,0
22.301458,-36.57449,2
0.15149084,-24.708273,1
-47.69947,4.2337756,1
-3.8479893,-23.581743,1
-37.066082,26.330353,0
5.300668,30.332806,0
-5.100641,-49.18509,2
-8.576516,24.864843,0
30.941797,31.91587,0
53.267693,2.03264,2
42.187378,-13.746705,2
-8.179446,-14.788795,1
-37.276966,-21.81498,2
-8.221109,-15.150167,1
-8.945762,6.0958714,1
36.48901,18.24261,0
3.329199,25.676517,0
-12.484473,-44.53696,2
39.333817,-17.295357,2
-3.2028046,-2.9140804,1
-6.219743,-9.535658,1
-1.5508243,-50.85945,2
56.63359,8.0156355,2
-36.024216,-22.603882,2
-10.234323,6.3528457,1
-46.49589,3.9291687,1
-22.805416,-34.56228,2
-41.670353,-19.607046,2
-7.591108,-19.396265,1
-5.380749,-8.069496,1
-27.848122,36.99183,0
15.491281,-11.507938,1
-30.586172,2.1909735,1
34.92971,-22.562954,2
-48.603268,4.4514165,1
-1.0799356,23.040457,0
-11.741862,6.45894,1
36.960476,16.074646,0
-23.620277,37.889515,0
27.254793,-31.118763,2
45.385113,-9.710709,2
2.4281716,-24.50387,1
28.015385,-30.304075,2
14.444144,-13.321998,1
-19.174297,-38.475594,2
4.839846,-53.386414,2
5.4487977,-23.369032,1
-17.784777,35.49888,0
-8.404693,5.934234,1
38.043404,11.406051,0
-16.713972,-40.9258,2
46.648582,-8.041273,2
-37.470276,25.543585,0
40.512657,-15.825087,2
-3.3315706,0.80038387,1
-16.322428,34.066177,0
1.8347466,24.263369,0
3.5120227,-52.94812,2
-12.643123,29.041178,0
13.327725,-15.1097555,1
6.015285,38.848377,0
-6.268993,-48.565746,2
26.111523,-32.324554,2
-29.82505,-27.394451,2
-11.564297,-45.21765,2
29.12118,35.063454,0
29.172932,-29.076183,2
-37.757217,25.25678,0
-17.27041,-40.39448,2
27.004791,-31.379745,2
-18.6375,-39.022038,2
40.287678,-16.117893,2
19.481657,-0.9948437,1
18.910894,45.816452,0
26.880777,-31.519615,2
-38.71913,-20.96504,2
-5.397361,-22.464478,1
23.954033,-34.5946,2
-36.774426,2.1550612,1
7.7852974,-21.76609,1
19.770504,2.3079135,1
-7.5898848,-12.414461,1
19.567701,-0.43635154,1
24.937256,-33.55122,2
22.112213,-36.16584,2
14.045723,-13.975598,1
-24.860903,3.209788,1
49.77844,-3.54618,2
-3.8497827,-5.055648,1
-26.792234,-30.298485,2
-37.518436,2.2209766,1
5.67334,34.867672,0
